data_name,model,seq_len,n_layers,d_model,inception_filters,inception_num_kernels,top_k,acc,model_params,model_size (MB)
PenDigits,TimesNet,8,4,128,256,6,3,0.9771297884505432,74994186,288.56
PenDigits,TimesNet,8,4,128,256,4,3,0.9814179531160663,22038026,86.54
PenDigits,TimesNet,8,4,128,256,6,2,0.9811320754716981,74994186,288.56
PenDigits,TimesNet,8,4,128,256,4,2,0.983704974271012,22038026,86.54
PenDigits,TimesNet,8,4,128,256,6,1,0.9788450543167524,74994186,288.56
PenDigits,TimesNet,8,4,128,256,4,1,0.9785591766723842,22038026,86.54
PenDigits,TimesNet,8,4,128,128,6,3,0.9817038307604345,37504522,145.55
PenDigits,TimesNet,8,4,128,128,4,3,0.9802744425385935,11025930,44.53
PenDigits,TimesNet,8,4,128,128,6,2,0.98084619782733,37504522,145.55
PenDigits,TimesNet,8,4,128,128,4,2,0.9828473413379074,11025930,44.53
PenDigits,TimesNet,8,4,128,128,6,1,0.9797026872498571,37504522,145.55
PenDigits,TimesNet,8,4,128,128,4,1,0.9814179531160663,11025930,44.53
PenDigits,TimesNet,8,4,64,256,6,3,0.9834190966266438,37500170,144.31
PenDigits,TimesNet,8,4,64,256,4,3,0.9799885648942253,11021066,43.29
PenDigits,TimesNet,8,4,64,256,6,2,0.9814179531160663,37500170,144.31
PenDigits,TimesNet,8,4,64,256,4,2,0.9819897084048027,11021066,43.29
PenDigits,TimesNet,8,4,64,256,6,1,0.9762721555174385,37500170,144.31
PenDigits,TimesNet,8,4,64,256,4,1,0.983704974271012,11021066,43.29
PenDigits,TimesNet,8,4,64,128,6,3,0.9839908519153803,18753802,72.8
PenDigits,TimesNet,8,4,64,128,4,3,0.9779874213836478,5513994,22.28
PenDigits,TimesNet,8,4,64,128,6,2,0.9819897084048027,18753802,72.8
PenDigits,TimesNet,8,4,64,128,4,2,0.9777015437392796,5513994,22.28
PenDigits,TimesNet,8,4,64,128,6,1,0.9828473413379074,18753802,72.8
PenDigits,TimesNet,8,4,64,128,4,1,0.9834190966266438,5513994,22.28
PenDigits,TimesNet,8,4,64,64,6,3,0.9848484848484849,9380618,37.04
PenDigits,TimesNet,8,4,64,64,4,3,0.9814179531160663,2760458,11.78
PenDigits,TimesNet,8,4,64,64,6,2,0.9854202401372213,9380618,37.04
PenDigits,TimesNet,8,4,64,64,4,2,0.983704974271012,2760458,11.78
PenDigits,TimesNet,8,4,64,64,6,1,0.9805603201829617,9380618,37.04
PenDigits,TimesNet,8,4,64,64,4,1,0.9794168096054888,2760458,11.78
PenDigits,TimesNet,8,4,32,128,6,3,0.982275586049171,9378442,36.42
PenDigits,TimesNet,8,4,32,128,4,3,0.9842767295597484,2758026,11.16
PenDigits,TimesNet,8,4,32,128,6,2,0.9831332189822756,9378442,36.42
PenDigits,TimesNet,8,4,32,128,4,2,0.9857061177815895,2758026,11.16
PenDigits,TimesNet,8,4,32,128,6,1,0.9802744425385935,9378442,36.42
PenDigits,TimesNet,8,4,32,128,4,1,0.9842767295597484,2758026,11.16
PenDigits,TimesNet,8,4,32,64,6,3,0.983704974271012,4691082,18.54
