data_name,model,seq_len,n_layers,d_model,inception_filters,inception_num_kernels,top_k,acc,model_params,model_size (MB)
SelfRegulationSCP1,TimesNet,896,4,128,256,6,3,0.8805460750853242,75214850,289.4
SelfRegulationSCP1,TimesNet,896,4,128,256,4,3,0.8839590443686007,22258690,87.38
SelfRegulationSCP1,TimesNet,896,4,128,256,6,2,0.8976109215017065,75214850,289.4
SelfRegulationSCP1,TimesNet,896,4,128,256,4,2,0.8976109215017065,22258690,87.38
SelfRegulationSCP1,TimesNet,896,4,128,256,6,1,0.8771331058020477,75214850,289.4
SelfRegulationSCP1,TimesNet,896,4,128,256,4,1,0.8976109215017065,22258690,87.38
SelfRegulationSCP1,TimesNet,896,4,128,128,6,3,0.9044368600682594,37725186,146.39
SelfRegulationSCP1,TimesNet,896,4,128,128,4,3,0.8907849829351536,11246594,45.37
SelfRegulationSCP1,TimesNet,896,4,128,128,6,2,0.8976109215017065,37725186,146.39
SelfRegulationSCP1,TimesNet,896,4,128,128,4,2,0.9010238907849829,11246594,45.37
SelfRegulationSCP1,TimesNet,896,4,128,128,6,1,0.9112627986348123,37725186,146.39
SelfRegulationSCP1,TimesNet,896,4,128,128,4,1,0.8907849829351536,11246594,45.37
SelfRegulationSCP1,TimesNet,896,4,64,256,6,3,0.9010238907849829,37610498,144.73
SelfRegulationSCP1,TimesNet,896,4,64,256,4,3,0.8976109215017065,11131394,43.71
SelfRegulationSCP1,TimesNet,896,4,64,256,6,2,0.9078498293515358,37610498,144.73
SelfRegulationSCP1,TimesNet,896,4,64,256,4,2,0.9112627986348123,11131394,43.71
SelfRegulationSCP1,TimesNet,896,4,64,256,6,1,0.9180887372013652,37610498,144.73
SelfRegulationSCP1,TimesNet,896,4,64,256,4,1,0.9078498293515358,11131394,43.71
SelfRegulationSCP1,TimesNet,896,4,64,128,6,3,0.9010238907849829,18864130,73.22
SelfRegulationSCP1,TimesNet,896,4,64,128,4,3,0.9010238907849829,5624322,22.7
SelfRegulationSCP1,TimesNet,896,4,64,128,6,2,0.9010238907849829,18864130,73.22
SelfRegulationSCP1,TimesNet,896,4,64,128,4,2,0.9078498293515358,5624322,22.7
SelfRegulationSCP1,TimesNet,896,4,64,128,6,1,0.9044368600682594,18864130,73.22
SelfRegulationSCP1,TimesNet,896,4,64,128,4,1,0.89419795221843,5624322,22.7
SelfRegulationSCP1,TimesNet,896,4,64,64,6,3,0.9010238907849829,9490946,37.46
SelfRegulationSCP1,TimesNet,896,4,64,64,4,3,0.8976109215017065,2870786,12.2
SelfRegulationSCP1,TimesNet,896,4,64,64,6,2,0.8976109215017065,9490946,37.46
SelfRegulationSCP1,TimesNet,896,4,64,64,4,2,0.89419795221843,2870786,12.2
SelfRegulationSCP1,TimesNet,896,4,64,64,6,1,0.9044368600682594,9490946,37.46
SelfRegulationSCP1,TimesNet,896,4,64,64,4,1,0.8976109215017065,2870786,12.2
SelfRegulationSCP1,TimesNet,896,4,32,128,6,3,0.9010238907849829,9433602,36.63
SelfRegulationSCP1,TimesNet,896,4,32,128,4,3,0.9010238907849829,2813186,11.37
SelfRegulationSCP1,TimesNet,896,4,32,128,6,2,0.9044368600682594,9433602,36.63
SelfRegulationSCP1,TimesNet,896,4,32,128,4,2,0.9044368600682594,2813186,11.37
SelfRegulationSCP1,TimesNet,896,4,32,128,6,1,0.9044368600682594,9433602,36.63
SelfRegulationSCP1,TimesNet,896,4,32,128,4,1,0.9044368600682594,2813186,11.37
SelfRegulationSCP1,TimesNet,896,4,32,64,6,3,0.9146757679180887,4746242,18.75
SelfRegulationSCP1,TimesNet,896,4,32,64,4,3,0.9010238907849829,1435906,6.11
SelfRegulationSCP1,TimesNet,896,4,32,64,6,2,0.9112627986348123,4746242,18.75
SelfRegulationSCP1,TimesNet,896,4,32,64,4,2,0.8907849829351536,1435906,6.11
SelfRegulationSCP1,TimesNet,896,4,32,64,6,1,0.9146757679180887,4746242,18.75
SelfRegulationSCP1,TimesNet,896,4,32,64,4,1,0.8907849829351536,1435906,6.11
SelfRegulationSCP1,TimesNet,896,4,32,32,6,3,0.8976109215017065,2402562,9.81
SelfRegulationSCP1,TimesNet,896,4,32,32,4,3,0.9112627986348123,747266,3.49
SelfRegulationSCP1,TimesNet,896,4,32,32,6,2,0.8976109215017065,2402562,9.81
SelfRegulationSCP1,TimesNet,896,4,32,32,4,2,0.9112627986348123,747266,3.49
SelfRegulationSCP1,TimesNet,896,4,32,32,6,1,0.8976109215017065,2402562,9.81
SelfRegulationSCP1,TimesNet,896,4,32,32,4,1,0.9112627986348123,747266,3.49
SelfRegulationSCP1,TimesNet,896,4,16,64,6,3,0.8976109215017065,2373890,9.4
SelfRegulationSCP1,TimesNet,896,4,16,64,4,3,0.9146757679180887,718466,3.07
SelfRegulationSCP1,TimesNet,896,4,16,64,6,2,0.89419795221843,2373890,9.4
SelfRegulationSCP1,TimesNet,896,4,16,64,4,2,0.9044368600682594,718466,3.07
SelfRegulationSCP1,TimesNet,896,4,16,64,6,1,0.9078498293515358,2373890,9.4
SelfRegulationSCP1,TimesNet,896,4,16,64,4,1,0.9044368600682594,718466,3.07
SelfRegulationSCP1,TimesNet,896,4,16,32,6,3,0.9078498293515358,1201666,4.93
SelfRegulationSCP1,TimesNet,896,4,16,32,4,3,0.9044368600682594,373890,1.76
SelfRegulationSCP1,TimesNet,896,4,16,32,6,2,0.9078498293515358,1201666,4.93
SelfRegulationSCP1,TimesNet,896,4,16,32,4,2,0.9044368600682594,373890,1.76
SelfRegulationSCP1,TimesNet,896,4,16,32,6,1,0.9078498293515358,1201666,4.93
SelfRegulationSCP1,TimesNet,896,4,16,32,4,1,0.8976109215017065,373890,1.76
SelfRegulationSCP1,TimesNet,896,4,16,16,6,3,0.9010238907849829,615554,2.69
SelfRegulationSCP1,TimesNet,896,4,16,16,4,3,0.9010238907849829,201602,1.1
SelfRegulationSCP1,TimesNet,896,4,16,16,6,2,0.8976109215017065,615554,2.69
SelfRegulationSCP1,TimesNet,896,4,16,16,4,2,0.9044368600682594,201602,1.1
SelfRegulationSCP1,TimesNet,896,4,16,16,6,1,0.9044368600682594,615554,2.69
SelfRegulationSCP1,TimesNet,896,4,16,16,4,1,0.9044368600682594,201602,1.1
SelfRegulationSCP1,TimesNet,896,4,8,64,6,3,0.8839590443686007,1187714,4.72
SelfRegulationSCP1,TimesNet,896,4,8,64,4,3,0.8976109215017065,359746,1.55
SelfRegulationSCP1,TimesNet,896,4,8,64,6,2,0.9044368600682594,1187714,4.72
SelfRegulationSCP1,TimesNet,896,4,8,64,4,2,0.9146757679180887,359746,1.55
SelfRegulationSCP1,TimesNet,896,4,8,64,6,1,0.9044368600682594,1187714,4.72
SelfRegulationSCP1,TimesNet,896,4,8,64,4,1,0.9112627986348123,359746,1.55
SelfRegulationSCP1,TimesNet,896,4,8,32,6,3,0.89419795221843,601218,2.48
SelfRegulationSCP1,TimesNet,896,4,8,32,4,3,0.9010238907849829,187202,0.89
SelfRegulationSCP1,TimesNet,896,4,8,32,6,2,0.9010238907849829,601218,2.48
SelfRegulationSCP1,TimesNet,896,4,8,32,4,2,0.9010238907849829,187202,0.89
SelfRegulationSCP1,TimesNet,896,4,8,32,6,1,0.9010238907849829,601218,2.48
SelfRegulationSCP1,TimesNet,896,4,8,32,4,1,0.9180887372013652,187202,0.89
SelfRegulationSCP1,TimesNet,896,4,8,16,6,3,0.9078498293515358,307970,1.36
SelfRegulationSCP1,TimesNet,896,4,8,16,4,3,0.8873720136518771,100930,0.56
SelfRegulationSCP1,TimesNet,896,4,8,16,6,2,0.89419795221843,307970,1.36
SelfRegulationSCP1,TimesNet,896,4,8,16,4,2,0.9010238907849829,100930,0.56
SelfRegulationSCP1,TimesNet,896,4,8,16,6,1,0.9044368600682594,307970,1.36
SelfRegulationSCP1,TimesNet,896,4,8,16,4,1,0.8976109215017065,100930,0.56
SelfRegulationSCP1,TimesNet,896,3,128,256,6,3,0.9044368600682594,56469250,217.88
