data_name,model,seq_len,n_layers,d_model,inception_filters,inception_num_kernels,top_k,acc,model_params,model_size (MB)
SpokenArabicDigits,TimesNet,93,4,128,256,6,3,0.9899954524783993,75107210,288.99
SpokenArabicDigits,TimesNet,93,4,128,256,4,3,0.9881764438381082,22151050,86.97
SpokenArabicDigits,TimesNet,93,4,128,256,6,2,0.9804456571168713,75107210,288.99
SpokenArabicDigits,TimesNet,93,4,128,256,4,2,0.9827194179172352,22151050,86.97
SpokenArabicDigits,TimesNet,93,4,128,256,6,1,0.988631195998181,75107210,288.99
SpokenArabicDigits,TimesNet,93,4,128,256,4,1,0.9881764438381082,22151050,86.97
SpokenArabicDigits,TimesNet,93,4,128,128,6,3,0.9827194179172352,37617546,145.98
SpokenArabicDigits,TimesNet,93,4,128,128,4,3,0.9827194179172352,11138954,44.96
SpokenArabicDigits,TimesNet,93,4,128,128,6,2,0.9854479308776717,37617546,145.98
SpokenArabicDigits,TimesNet,93,4,128,128,4,2,0.9822646657571623,11138954,44.96
SpokenArabicDigits,TimesNet,93,4,128,128,6,1,0.9863574351978172,37617546,145.98
SpokenArabicDigits,TimesNet,93,4,128,128,4,1,0.9854479308776717,11138954,44.96
SpokenArabicDigits,TimesNet,93,4,64,256,6,3,0.988631195998181,37556682,144.52
SpokenArabicDigits,TimesNet,93,4,64,256,4,3,0.984993178717599,11077578,43.5
SpokenArabicDigits,TimesNet,93,4,64,256,6,2,0.9899954524783993,37556682,144.52
SpokenArabicDigits,TimesNet,93,4,64,256,4,2,0.9827194179172352,11077578,43.5
SpokenArabicDigits,TimesNet,93,4,64,256,6,1,0.9890859481582538,37556682,144.52
SpokenArabicDigits,TimesNet,93,4,64,256,4,1,0.984993178717599,11077578,43.5
SpokenArabicDigits,TimesNet,93,4,64,128,6,3,0.9881764438381082,18810314,73.01
SpokenArabicDigits,TimesNet,93,4,64,128,4,3,0.9872669395179627,5570506,22.5
SpokenArabicDigits,TimesNet,93,4,64,128,6,2,0.9840836743974534,18810314,73.01
SpokenArabicDigits,TimesNet,93,4,64,128,4,2,0.98681218735789,5570506,22.5
SpokenArabicDigits,TimesNet,93,4,64,128,6,1,0.9918144611186903,18810314,73.01
SpokenArabicDigits,TimesNet,93,4,64,128,4,1,0.9827194179172352,5570506,22.5
SpokenArabicDigits,TimesNet,93,4,64,64,6,3,0.98681218735789,9437130,37.26
SpokenArabicDigits,TimesNet,93,4,64,64,4,3,0.9899954524783993,2816970,11.99
SpokenArabicDigits,TimesNet,93,4,64,64,6,2,0.9859026830377444,9437130,37.26
SpokenArabicDigits,TimesNet,93,4,64,64,4,2,0.98681218735789,2816970,11.99
SpokenArabicDigits,TimesNet,93,4,64,64,6,1,0.992269213278763,9437130,37.26
SpokenArabicDigits,TimesNet,93,4,64,64,4,1,0.990450204638472,2816970,11.99
SpokenArabicDigits,TimesNet,93,4,32,128,6,3,0.990450204638472,9406698,36.53
SpokenArabicDigits,TimesNet,93,4,32,128,4,3,0.992269213278763,2786282,11.26
SpokenArabicDigits,TimesNet,93,4,32,128,6,2,0.988631195998181,9406698,36.53
SpokenArabicDigits,TimesNet,93,4,32,128,4,2,0.992269213278763,2786282,11.26
SpokenArabicDigits,TimesNet,93,4,32,128,6,1,0.9913597089586176,9406698,36.53
SpokenArabicDigits,TimesNet,93,4,32,128,4,1,0.9854479308776717,2786282,11.26
SpokenArabicDigits,TimesNet,93,4,32,64,6,3,0.9890859481582538,4719338,18.65
SpokenArabicDigits,TimesNet,93,4,32,64,4,3,0.990450204638472,1409002,6.01
SpokenArabicDigits,TimesNet,93,4,32,64,6,2,0.9918144611186903,4719338,18.65
SpokenArabicDigits,TimesNet,93,4,32,64,4,2,0.9927239654388358,1409002,6.01
SpokenArabicDigits,TimesNet,93,4,32,64,6,1,0.9913597089586176,4719338,18.65
SpokenArabicDigits,TimesNet,93,4,32,64,4,1,0.9909049567985448,1409002,6.01
SpokenArabicDigits,TimesNet,93,4,32,32,6,3,0.990450204638472,2375658,9.71
SpokenArabicDigits,TimesNet,93,4,32,32,4,3,0.9899954524783993,720362,3.38
SpokenArabicDigits,TimesNet,93,4,32,32,6,2,0.9931787175989086,2375658,9.71
SpokenArabicDigits,TimesNet,93,4,32,32,4,2,0.9918144611186903,720362,3.38
SpokenArabicDigits,TimesNet,93,4,32,32,6,1,0.9927239654388358,2375658,9.71
SpokenArabicDigits,TimesNet,93,4,32,32,4,1,0.9895407003183265,720362,3.38
SpokenArabicDigits,TimesNet,93,4,16,64,6,3,0.9872669395179627,2360442,9.35
SpokenArabicDigits,TimesNet,93,4,16,64,4,3,0.9913597089586176,705018,3.02
SpokenArabicDigits,TimesNet,93,4,16,64,6,2,0.990450204638472,2360442,9.35
SpokenArabicDigits,TimesNet,93,4,16,64,4,2,0.9895407003183265,705018,3.02
SpokenArabicDigits,TimesNet,93,4,16,64,6,1,0.992269213278763,2360442,9.35
SpokenArabicDigits,TimesNet,93,4,16,64,4,1,0.9813551614370168,705018,3.02
SpokenArabicDigits,TimesNet,93,4,16,32,6,3,0.990450204638472,1188218,4.87
SpokenArabicDigits,TimesNet,93,4,16,32,4,3,0.988631195998181,360442,1.71
SpokenArabicDigits,TimesNet,93,4,16,32,6,2,0.9890859481582538,1188218,4.87
SpokenArabicDigits,TimesNet,93,4,16,32,4,2,0.9899954524783993,360442,1.71
SpokenArabicDigits,TimesNet,93,4,16,32,6,1,0.9895407003183265,1188218,4.87
SpokenArabicDigits,TimesNet,93,4,16,32,4,1,0.98681218735789,360442,1.71
SpokenArabicDigits,TimesNet,93,4,16,16,6,3,0.992269213278763,602106,2.64
SpokenArabicDigits,TimesNet,93,4,16,16,4,3,0.9899954524783993,188154,1.05
SpokenArabicDigits,TimesNet,93,4,16,16,6,2,0.98681218735789,602106,2.64
SpokenArabicDigits,TimesNet,93,4,16,16,4,2,0.9881764438381082,188154,1.05
SpokenArabicDigits,TimesNet,93,4,16,16,6,1,0.9909049567985448,602106,2.64
SpokenArabicDigits,TimesNet,93,4,16,16,4,1,0.9872669395179627,188154,1.05
SpokenArabicDigits,TimesNet,93,4,8,64,6,3,0.9927239654388358,1180994,4.69
SpokenArabicDigits,TimesNet,93,4,8,64,4,3,0.9949977262391997,353026,1.52
SpokenArabicDigits,TimesNet,93,4,8,64,6,2,0.9813551614370168,1180994,4.69
SpokenArabicDigits,TimesNet,93,4,8,64,4,2,0.9795361527967258,353026,1.52
SpokenArabicDigits,TimesNet,93,4,8,64,6,1,0.9781718963165075,1180994,4.69
SpokenArabicDigits,TimesNet,93,4,8,64,4,1,0.9736243747157799,353026,1.52
SpokenArabicDigits,TimesNet,93,4,8,32,6,3,0.9881764438381082,594498,2.46
SpokenArabicDigits,TimesNet,93,4,8,32,4,3,0.9863574351978172,180482,0.87
SpokenArabicDigits,TimesNet,93,4,8,32,6,2,0.9872669395179627,594498,2.46
SpokenArabicDigits,TimesNet,93,4,8,32,4,2,0.990450204638472,180482,0.87
SpokenArabicDigits,TimesNet,93,4,8,32,6,1,0.9890859481582538,594498,2.46
SpokenArabicDigits,TimesNet,93,4,8,32,4,1,0.979081400636653,180482,0.87
SpokenArabicDigits,TimesNet,93,4,8,16,6,3,0.9831741700773079,301250,1.34
SpokenArabicDigits,TimesNet,93,4,8,16,4,3,0.9909049567985448,94210,0.54
SpokenArabicDigits,TimesNet,93,4,8,16,6,2,0.9749886311959982,301250,1.34
SpokenArabicDigits,TimesNet,93,4,8,16,4,2,0.9895407003183265,94210,0.54
SpokenArabicDigits,TimesNet,93,4,8,16,6,1,0.9840836743974534,301250,1.34
SpokenArabicDigits,TimesNet,93,4,8,16,4,1,0.9827194179172352,94210,0.54
SpokenArabicDigits,TimesNet,93,3,128,256,6,3,0.98681218735789,56361610,217.47
SpokenArabicDigits,TimesNet,93,3,128,256,4,3,0.9781718963165075,16644490,65.95
SpokenArabicDigits,TimesNet,93,3,128,256,6,2,0.9795361527967258,56361610,217.47
SpokenArabicDigits,TimesNet,93,3,128,256,4,2,0.9840836743974534,16644490,65.95
SpokenArabicDigits,TimesNet,93,3,128,256,6,1,0.98681218735789,56361610,217.47
SpokenArabicDigits,TimesNet,93,3,128,256,4,1,0.98681218735789,16644490,65.95
SpokenArabicDigits,TimesNet,93,3,128,128,6,3,0.9854479308776717,28244362,110.21
SpokenArabicDigits,TimesNet,93,3,128,128,4,3,0.9863574351978172,8385418,34.45
SpokenArabicDigits,TimesNet,93,3,128,128,6,2,0.9845384265575261,28244362,110.21
SpokenArabicDigits,TimesNet,93,3,128,128,4,2,0.9813551614370168,8385418,34.45
SpokenArabicDigits,TimesNet,93,3,128,128,6,1,0.990450204638472,28244362,110.21
SpokenArabicDigits,TimesNet,93,3,128,128,4,1,0.98681218735789,8385418,34.45
